Transaction_ID,Date,Vendor_ID,Officer_ID,Amount
a42d0cd7,2025-08-01,VEN140,OFF106,618300.0
f0458043,2025-02-24,VEN130,OFF106,283500.0
45d8a6ad,2025-03-18,VEN121,OFF108,244900.0
2999394c,2025-10-13,VEN104,OFF111,647700.0
b7f60cdf,2025-03-16,VEN138,OFF102,447400.0
ca6fbff8,2025-04-27,VEN101,OFF101,466200.0
317304b5,2025-03-12,VEN106,OFF111,365600.0
e5a4983b,2025-06-09,VEN134,OFF107,624600.0
53f30073,2025-02-05,VEN123,OFF102,233700.0
2f4dd219,2025-02-26,VEN105,OFF103,153600.0
3f800385,2025-01-05,VEN136,OFF101,132600.0
725d4259,2025-10-22,VEN142,OFF115,302500.0
4d4c5280,2025-08-17,VEN137,OFF104,785800.0
42f525b9,2025-09-13,VEN118,OFF108,245300.0
0fe76149,2025-09-19,VEN147,OFF109,407900.0
28e333b6,2025-06-09,VEN139,OFF105,340100.0
e5267a2b,2025-12-13,VEN113,OFF112,415400.0
b0b6dedf,2025-02-17,VEN110,OFF114,558500.0
4b87959f,2025-05-25,VEN101,OFF107,391500.0
f5159494,2025-02-23,VEN113,OFF109,598900.0
bf6b8cdf,2025-08-26,VEN147,OFF110,166600.0
8c9aa1e9,2025-12-23,VEN119,OFF106,289100.0
cd4f8b2b,2025-09-17,VEN100,OFF108,270400.0
3f59e4f2,2025-09-24,VEN147,OFF115,248700.0
c9912032,2025-02-03,VEN135,OFF113,393000.0
b42a0456,2025-05-23,VEN145,OFF113,318600.0
1cb9b73a,2025-01-26,VEN106,OFF108,502900.0
8167999f,2025-03-22,VEN108,OFF114,101200.0
2a1f1b61,2025-05-10,VEN101,OFF103,753600.0
1dc1e7eb,2025-09-24,VEN100,OFF109,85100.0
7d23d479,2025-02-07,VEN139,OFF111,637700.0
cf0671c7,2025-01-24,VEN147,OFF103,140500.0
6a5943ce,2025-06-29,VEN135,OFF114,659800.0
765e6cb5,2025-09-21,VEN107,OFF111,733100.0
0592bfa5,2025-06-05,VEN109,OFF106,738600.0
beed0af9,2025-03-28,VEN122,OFF105,623100.0
6c776e95,2025-05-16,VEN148,OFF111,440000.0
fe7ee362,2025-01-26,VEN119,OFF108,100200.0
fc737d92,2025-12-31,VEN131,OFF102,39000.0
68ab80ea,2025-03-13,VEN148,OFF113,380800.0
a43afb7a,2025-10-13,VEN129,OFF114,188900.0
5fdcabbf,2025-12-15,VEN136,OFF101,313100.0
eac80da1,2025-12-21,VEN130,OFF112,22800.0
aec76a82,2025-09-17,VEN107,OFF111,462700.0
a74e02a9,2025-12-03,VEN118,OFF109,349900.0
fe2b34d8,2025-07-30,VEN105,OFF112,748900.0
ba54e920,2025-03-30,VEN107,OFF102,405900.0
05d1fb63,2025-04-28,VEN101,OFF111,793700.0
8b60c511,2025-06-16,VEN101,OFF109,186100.0
3acb43a3,2025-04-09,VEN109,OFF108,269000.0
4690fb15,2025-03-17,VEN111,OFF101,465200.0
c3f725fe,2025-02-15,VEN141,OFF103,375000.0
6b535a19,2025-08-29,VEN127,OFF105,279900.0
e39836bb,2025-01-09,VEN103,OFF104,367200.0
19d45deb,2025-08-21,VEN101,OFF103,751800.0
ac09bdb7,2025-10-03,VEN137,OFF112,113700.0
bd9419aa,2025-01-20,VEN116,OFF112,507100.0
8a2db2e6,2025-03-28,VEN112,OFF101,178300.0
0e731dd7,2025-02-26,VEN122,OFF105,451600.0
3bf2025f,2025-11-15,VEN119,OFF104,485600.0
51a3ac26,2025-08-15,VEN106,OFF111,570100.0
d18183d1,2025-05-07,VEN143,OFF102,749900.0
24acb722,2025-09-16,VEN134,OFF101,718100.0
4ceda164,2025-04-19,VEN134,OFF108,239600.0
97777f10,2025-12-10,VEN116,OFF112,72800.0
a0411612,2025-09-23,VEN135,OFF111,723500.0
0c00988a,2025-05-16,VEN119,OFF104,642500.0
61935990,2025-11-04,VEN142,OFF112,365400.0
6a944054,2025-06-10,VEN118,OFF101,591300.0
2f12b150,2025-10-22,VEN109,OFF105,497100.0
d96e684f,2025-03-31,VEN130,OFF114,342900.0
24f43c62,2025-11-11,VEN115,OFF112,547000.0
FRAUD_LINK_1,2026-01-04,VEN105,OFF103,500000.0
FRAUD_SMURF_0,2026-01-04,VEN108,OFF107,490000.0
FRAUD_SMURF_1,2026-01-04,VEN108,OFF107,490000.0
FRAUD_SMURF_2,2026-01-04,VEN108,OFF107,490000.0
FRAUD_SMURF_3,2026-01-04,VEN108,OFF107,490000.0
FRAUD_SMURF_4,2026-01-04,VEN108,OFF107,490000.0
FRAUD_BIG_1,2025-07-01,VEN110,OFF112,50000000.0
FRAUD_SHELL_1,2026-01-04,VEN145,OFF115,1200000.0
